code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
2444668,20.0,False,False,199,2025-01-04T12:30:00Z,0,False,False,15,,18,,[],3,4,116025
2444661,20.0,False,False,191,2025-01-04T15:00:00Z,0,False,False,11,,2,,[],2,4,116017
2444660,20.0,False,False,192,2025-01-04T15:00:00Z,0,False,False,8,,3,,[],2,3,116018
2444663,20.0,False,False,194,2025-01-04T15:00:00Z,0,False,False,6,,7,,[],4,3,116020
2444666,20.0,False,False,197,2025-01-04T15:00:00Z,0,False,False,19,,13,,[],2,4,116023
2444667,20.0,False,False,198,2025-01-04T15:00:00Z,0,False,False,4,,17,,[],2,2,116024
2444662,20.0,False,False,193,2025-01-04T17:30:00Z,0,False,False,1,,5,,[],4,3,116019
2444664,20.0,False,False,195,2025-01-05T14:00:00Z,0,False,False,10,,9,,[],2,3,116021
2444665,20.0,False,False,196,2025-01-05T16:30:00Z,0,False,False,14,,12,,[],3,5,116022
2444669,20.0,False,False,200,2025-01-06T20:00:00Z,0,False,False,16,,20,,[],3,2,116026
